"Märksõna (B1, B2)",tundetoon,sonaliik
helistama,dom neutr,V
herilane,vastuolu,S
hernes,dom neutr,S
hetk,dom neutr,S
hiir,vastuolu,S
hiline ,vastuolu,A
hilinema,dom neg,V
hiljutine,dom neutr,A
hind,vastuolu,S
hindama,dom neutr,V
hing,vastuolu,S/S
hingama,dom neutr,V
hinnang,vastuolu,S
hinne,vastuolu,S
hirm,dom neg,S
hirmus,dom neg,A/D
hirmutama,dom neg,V
hobune,dom neutr,S
hoiak,vastuolu,S
hoiatama,vastuolu,V
hoidma,vastuolu,V
hoiduma,vastuolu,V
hoius,vastuolu,S
hommik,dom neutr,S
hommikune,dom neutr,A
hommikusöök,dom neutr,S
homne,dom neutr,A
honorar,dom pos,S
hooaeg,dom neutr,S
hoog,vastuolu,S
hool,dom pos,S
hooldaja,dom pos,S
hoolealune,dom pos,A/S
hoolima,dom pos,V
hoolitsema,dom pos,V
hoone,dom neutr,S
hotell,dom neutr,S
hukkuma,dom neg,V
hukkunu,dom neg,S
hulk,dom neutr,S
hull ,dom neg,A/S
hunt,vastuolu,S
huul,dom neutr,S
huulepulk,dom neutr,S
huvi,dom pos,S
huviline,dom pos,A/S
huvitama,dom pos,V
hõbe,dom neutr,S
hõivama,dom neg,V
hõlmama,dom neutr,V
häbelik,vastuolu,A
häbenema,dom neg,V
häbi,dom neg,S
häda,dom neg,S
hädavajalik,vastuolu,A
häirima,dom neg,V
hämmastama,dom neg,V
härra,dom pos,S
hävima,dom neg,V
hävitama,dom neg,V
hääl,dom neutr,S
hääletama,dom neutr,V
hääletus,dom neutr,S/S
hümn,vastuolu,S
hüppama,dom neutr,V
hüüdma,dom neutr,V
ida,dom neutr,S
idee,vastuolu,S
iga,dom neutr,P/S
igapäevane,dom neutr,A
igav,dom neg,A
iiveldama,dom neg,V
ilm,dom neutr,S/S
ilmaennustus,dom neutr,S
ilmakaar,dom neutr,S
ilmateade,dom neutr,S
ilmne,dom neutr,A
ilmnema,dom neutr,V
ilmuma,dom neutr,V
ilmutama,dom neutr,V
ilu,dom pos,S
ilus,dom pos,A
ime,dom pos,S
imelik,vastuolu,A
imestama,dom vastuolu,V
imetlema,dom pos,V
inetu,dom neg,A
infarkt,dom neg,S
info,dom neutr,S
informatsioon,dom neutr,S
informeerima,dom neutr,V
ingel,dom pos,S
inimene,dom neutr,S
inimlik,dom pos,A
inimõigus,dom pos,S
institutsioon,dom neutr,S
instituut,dom neutr,S
internet,dom neutr,S
intervjuu,dom neutr,S
intress,dom neutr,S
investeerima,vastuolu,V
isa,dom pos,S
isamaa,dom pos,S
isane,dom neutr,A/S
ise,dom neutr,P/D
iseasi,dom neutr,S
iseloom,dom neutr,S
iseloomulik,dom neutr,A
iseloomustama,dom neutr,V
iseseisev,dom pos,A
iseseisvus,dom pos,S
isik,dom neutr,S
isiklik,dom neutr,A
isiksus,dom pos,S
isikukood,dom neutr,S
isikutunnistus,dom neutr,S
issi,dom pos,S
iste,dom neutr,S
istekoht,dom neutr,S
istuma,dom neutr,V
istung,dom neutr,S
istutama,vastuolu,V
isu,vastuolu,S
jaam,dom neutr,S
jaanipäev,vastuolu,S
jaanuar,dom neutr,S
jagama,vastuolu,V
jagu,dom neutr,S
jaguma,vastuolu,V
jagunema,dom neutr,V
jahe,vastuolu,A
jahimees,dom vastuolu,S
jaht,vastuolu,S/S
jakk,dom neutr,S
jalakäija,dom neutr,S
jalanõu,dom neutr,S
jalg ,dom neutr,S
jalgpall,dom neutr,S
jalgratas,dom neutr,S
jalgrattur,dom neutr,S
jalutama,dom pos,V
jaoskond,dom neutr,S
jaotama,dom neutr,V
joodik,dom neg,S
joogivesi,vastuolu,S
jook,dom neutr,S
jooks,dom neutr,S
jooksma,dom neutr,V
jooma,dom neutr,V
joon,dom neutr,S
joonistama,dom neutr,V
juhataja,dom neutr,S
juhatama,dom neutr,V
juhatus,dom neutr,S
juhe,dom neutr,S
juhend,dom neutr,S
juhendaja,dom neutr,S
juhiluba,dom neutr,S
juht,dom neutr,S/S
juhtima,dom neutr,V
juhtkond,dom neutr,S
juhtum,dom neutr,S
juhtuma,dom neutr,V
juhtunu,vastuolu,S
juhus,vastuolu,S
juhuslik,dom neutr,A
julge,dom pos,A
julgema,vastuolu,V
julgeolek,vastuolu,S
julgus,dom pos,S
jumal,vastuolu,S
juriidiline,dom neutr,A
jurist,dom neutr,S
jutt,dom neutr,S/S
jutustama,dom neutr,V
juubel,dom pos,S
juuksed,dom neutr,S
juuksur,dom neutr,S
juuli,dom neutr,S
juuni,dom neutr,S
juunior,dom neutr,S
juurvili,dom neutr,S
juust,dom neutr,S
jõgi,dom neutr,S
jõud,dom neutr,S
jõudma,dom neutr,V
jõuline,dom pos,A
jõulud,dom pos,S
jõulupüha,dom pos,S
jõuluvana,dom pos,S
jõusaal,dom neutr,S
jälg,dom neutr,S
jälgima,vastuolu,V
jänes,dom neutr,S
järeldus,dom neutr,S
järelevalve,dom neutr,S
järelmaks,dom neutr,S
järgima,dom neutr,V
järgmine,dom neutr,A
järgnema,dom neutr,V
järjekord,dom neg,S
järjekordne,dom neutr,A
järsk,vastuolu,A
järv,dom neutr,S
jätkama,dom neutr,V
jätkuma,dom neutr,V
jätma,dom neutr,V
jää,dom neutr,S
jääma,dom neutr,V
kaal,dom neutr,S/S
kaaluma,dom neutr,V
kaamera,dom neutr,S
kaart,dom neutr,S
kaas,dom neutr,S
kaasaegne,dom pos,A
kaaslane,vastuolu,S
kaasmaalane,dom pos,S
kabinet,dom neutr,S
kade,dom neg,A
kaduma,vastuolu,V
kadunu,dom neg,S
kaebama,dom neg,V
kaebus,dom neg,S
kael ,dom neutr,S
kaevama,dom neutr,V
kahanema,vastuolu,V
kaheaastane,dom neutr,A
kahekordne,dom neutr,A
kaheksa,dom neutr,N
kaheksas,dom neutr,N
kahetsema,dom neg,V
kahju,dom neg,S
kahjulik,dom neg,A
kahjum,dom neg,S
kahjustama,dom neg,V
kahtlane,dom neg,A
kahtlema,dom neg,V
kahtlus,dom neg,S
kahtlustama,dom neg,V
kahvel,dom neutr,S
kai,dom neutr,S
kaitse,dom pos,S/S
kaitseliit,vastuolu,S
kaitsevägi,vastuolu,S
kaitsja,dom pos,S
kaitsma,dom pos,V
kajakas,dom neutr,S
kajastama,dom neutr,V
kajut,dom neutr,S
kaks,dom neutr,N
kakskümmend,dom neutr,N
kala,dom neutr,S
kalamees,dom neutr,S
kalduma,vastuolu,V
kalender,dom neutr,S
kalju,dom neutr,S
kalkun,dom neutr,S
kallas,dom neutr,S
kallim,dom pos,A/S
kallis,dom vastuolu,A
kallistama,dom pos,V
kalmistu,dom neg,S
kamm,dom neutr,S
kammima,dom neutr,V
kampaania,dom neutr,S
kampsun,dom neutr,S
kana,dom neutr,S
kanal,dom neutr,S
kanalisatsioon,dom neutr,S
kand,dom neutr,S
kandidaat,dom neutr,S
kandideerima,dom neutr,V
kandiline,dom neutr,A
kandma,dom neutr,V
kangelane,dom pos,S
kannatama,dom neg,V
kannatanu,dom neg,S
kant,dom neutr,S
kantselei,dom neutr,S
kaotaja,dom neg,S
kaotama,dom neg,V
kaotus,dom neg,S
kapital,vastuolu,S
kapp,dom neutr,S
kapsas,dom neutr,S
kapten,dom neutr,S
kari,dom neutr,S/S
karikakar,dom neutr,S
karikas,dom pos,S
karistama,dom neg,V
karistus,dom neg,S
karjuma,dom neg,V
karjäär,vastuolu,S/S
karm,dom neg,A/S
kartma,dom neg,V
kartul,dom neutr,S
kartus,dom neg,S
karu,dom neutr,S
karvane,dom neutr,A
kask,dom neutr,S
kass,dom neutr,S
kassa,dom neutr,S
kast,dom neutr,S
kastan,dom neutr,S
kasu,dom pos,S
kasulik,dom pos,A
kasum,dom pos,S
kasutama,dom neutr,V
kasutus,dom neutr,S/S
kasv,dom pos,S
kasvama,dom pos,V
kasvataja,dom pos,S
kasvatama,vastuolu,V
katastroof,dom neg,S
kate,dom neutr,S
katkestama,dom neg,V
katkine,dom neg,A
katma,dom neutr,V
katse,dom neutr,S
katsetama,dom neutr,V
katsetus,dom neutr,S
katsuma,dom neutr,V
katus,dom neutr,S
kaubamaja,dom neutr,S
kaubavahetus,vastuolu,S
kauge,vastuolu,A
kaugenema,dom neg,V
kaugus,dom neutr,S
kaunis,dom pos,A/D
kaup,dom neutr,S
kauplema,dom neutr,V
kauplus,dom neutr,S
kauss,dom neutr,S
kava,dom neutr,S
kaval,dom vastuolu,A
kavandama,dom neutr,V
kavatsema,dom neutr,V
keel,dom neutr,S
keelama,dom neg,V
keeld,dom neg,S
keelduma,dom neg,V
keeleoskus,dom pos,S
keema,dom neutr,V
keemia,dom neutr,S
keerama,dom neutr,V
keeruline,dom neg,A
keetma,dom neutr,V
keha,dom neutr,S
kehaosa,dom neutr,S
kehtestama,dom neutr,V
kehtima,dom neutr,V
kehv,dom neg,A
kelder,dom neutr,S
kell,dom neutr,S
kena,dom pos,A
kera,dom neutr,S
kerge ,vastuolu,A/S
kergejõustik,dom neutr,S
kerkima,dom neutr,V
keskaegne,dom neutr,A
keskealine,dom neutr,A/S
keskenduma,vastuolu,V
keskharidus,dom neutr,S
keskkond,dom neutr,S
keskkool,dom neutr,S
keskküte,dom neutr,S
kesklinn,dom neutr,S
keskmine,dom neutr,A
keskpäev,dom neutr,S
keskturg,dom neutr,S
keskus,dom neutr,S
kesköö,dom neutr,S
kestma,dom neutr,V
kevad,dom pos,S
kevadine,dom pos,A
kibe,dom neg,A/S
kihutama,dom neg,V
kiirabi,dom vastuolu,S
kiire ,vastuolu,A
kiirendama,dom neutr,V
kiirtee,dom neutr,S
kiirus,dom neutr,S
kiirustama,dom neg,V
kiitma,dom pos,V
kilekott,dom neutr,S
kilo,dom neutr,S
kilogramm,dom neutr,S
kilomeeter,dom neutr,S
kindel,dom pos,A
kindlustama,dom pos,V
kindlustus,vastuolu,S
kindral,dom neutr,S
kingad ,dom neutr,S
kingitus,dom pos,S
kingsepp,dom neutr,S
kinkima,dom pos,V
kinnine,dom neg,A
kinnisvara,dom neutr,S
kinnitama,dom neutr,V
kinnitus,dom neutr,S
kino,dom neutr,S
kippuma,dom neutr,V
kiri ,dom neutr,S
kirik,dom neutr,S
kirjalik,dom neutr,A
kirjandus,dom neutr,S
kirjanik,dom neutr,S
kirjastus,dom neutr,S
kirjavahetus,dom neutr,S
kirjeldama,dom neutr,V
kirju,dom neutr,A/A
kirjutama,dom neutr,V
kirjutatu,dom neutr,S
kirjutis,dom neutr,S
kirjutuslaud,dom neutr,S
kirss,dom neutr,S
kitarr,dom neutr,S
kits,dom neutr,S
kitsas,dom neg,A
kivi,dom neutr,S
klaas,dom neutr,S
klass,dom neutr,S
klassijuhataja,dom neutr,S
klassika,dom pos,S
klassikaline,dom pos,A
klassivend,dom neutr,S
klassiõde,dom neutr,S
klaver,dom neutr,S
klaviatuur,dom neutr,S
kleepima,dom neutr,V
kleit,dom neutr,S
klient,dom neutr,S
kliima,dom neutr,S
klubi,dom neutr,S
kodakondsus,dom neutr,S
kodanik,dom neutr,S
kodu,dom pos,S
kodukoht,dom pos,S
kodulind,dom neutr,S
kodulinn,dom pos,S
koduloom,dom neutr,S
kodumaa,dom pos,S
kodumaine,dom pos,A
kodumasin,dom neutr,S
kodune,vastuolu,A
kodutu,dom neg,A/S
koer,dom neutr,A/S
kogema,dom neutr,V
kogemus,vastuolu,S
kogu,dom neutr,P/S
koguma,dom neutr,V
kogunema,dom neutr,V
kogus,dom neutr,S
koha,dom neutr,S/S
kohalik,dom neutr,A
koht,dom neutr,S
kohtama,dom neutr,V
kohtuma,dom neutr,V
kohtunik,dom neutr,S
kohtuotsus,vastuolu,S
kohupiim,dom neutr,S
kohus,vastuolu,S/S
kohustama,vastuolu,V
kohustuma,vastuolu,V
kohustus,dom neg,S
kohustuslik,dom neg,A
kohutav,dom neg,A
kohv,dom neutr,S
kohver,dom neutr,S
kohvik,vastuolu,S
kohvipaus,dom neutr,S
kokk,dom neutr,S
kokkulepe,vastuolu,S
kokkupõrge,dom neg,S
kokkutulek,vastuolu,S
kokkuvõte,dom neutr,S
kole,dom neg,A/D
kolima,dom neutr,V
kollane,dom neutr,A
kolleeg,vastuolu,S
kolm ,dom neutr,N
kolmandik,dom neutr,N/S
kolmapäev,dom neutr,S
kolmas,dom neutr,N
kolmekordne,dom neutr,A/S
kolmkümmend,dom neutr,N
kolmveerand,dom neutr,S
kolonel,dom neutr,S
komisjon,dom neutr,S
komissar,dom neutr,S
komitee,dom neutr,S
komme,dom neutr,S
kommentaar,dom neutr,S
kommenteerima,dom neutr,V
kommunist,dom neg,S
kommunistlik,dom neg,A
kompanii,dom neutr,S
kompleks,vastuolu,S
kompromiss,dom pos,S
komöödia,dom pos,S
konflikt,dom neg,S
kongress,dom neutr,S
konjak,dom neutr,S
konkreetne,vastuolu,A
konkurents,vastuolu,S
konkurss,vastuolu,S
konserv,dom neutr,S
kontakt,dom neutr,S
kontekst,dom neutr,S
konto,dom neutr,S
kontor,dom neutr,S
kontroll,dom neg,S
kontrollima,vastuolu,V
konts,dom neutr,S
kontseptsioon,dom neutr,S
kontsert,vastuolu,S
konventsioon,dom neutr,S
konverents,dom neutr,S
kook,dom pos,S/S
kool,vastuolu,S
kooliaasta,dom neutr,S
koolilaps,vastuolu,S
koolimaja,dom neutr,S
koolitus,dom neutr,S
koolivend,vastuolu,S
kooliõde,vastuolu,S
koondama,vastuolu,V
koondis,dom neutr,S
koonduma,vastuolu,V
koopia,dom neutr,S
koor,dom neutr,S/S
koos,vastuolu,D/S
kooskõla,dom pos,S
kooskõlastama,vastuolu,V
koosnema,dom neutr,V
koosolek,dom neutr,S
koosseis,dom neutr,S
koostama,dom neutr,V
koostöö,dom pos,S
kops,dom neutr,S
koputama,vastuolu,V
kord,dom neutr,D/S
kordama,dom neutr,V
koridor,dom neutr,S
koristaja,dom neutr,S
koristama,vastuolu,V
korjama,dom neutr,V
korraldama,dom neutr,V
korraldus,dom neutr,S
korralik,dom pos,A
korrektne,dom pos,A
korruptsioon,dom neg,S
korrus,dom neutr,S
korrutama,dom neutr,V
korsten,dom neutr,S
korter,dom neutr,S
kortermaja,dom neutr,S
korv,dom neutr,S
korvpall,dom neutr,S
kosmeetik,dom neutr,S
kostma,dom neutr,V
kotlet,dom neutr,S
kott,dom neutr,S/S
kraad,dom neutr,S
kraadiklaas,dom neutr,S
kraan,dom neutr,S
kraanikauss,dom neutr,S
kraanivesi,dom neutr,S
kreem,dom neutr,A/S
kriis,dom neg,S
kriitik,vastuolu,S
kriitika,dom neg,S
kriitiline,dom neg,A
kriminaalasi,dom neg,S
kristlik,vastuolu,A
kritiseerima,dom neg,V
kroon,dom neutr,S
kroonine,dom neutr,A/S
krunt,dom neutr,S
kruus,dom neutr,S/S
kruvikeeraja,dom neutr,S
kuiv,vastuolu,A/S
kuivama,dom neutr,V
kuivatama,dom neutr,V
kuju,dom neutr,S
kujundama,dom neutr,V
kujunema,dom neutr,V
kujutama,dom neutr,V
kukk,dom neutr,S
kukkuma,dom neg,V/V
kukutama,dom neg,V
kuld,vastuolu,S
kuldne,dom pos,A
kulg,dom neutr,S
kulgema,dom neutr,V
kull,dom neutr,S
kulm,dom neutr,S
kultuur,vastuolu,S
kultuurikeskus,vastuolu,S
kultuurimaja,vastuolu,S
kulu,vastuolu,S/S
kuluma,dom neutr,V
kulutama,vastuolu,V
kulutus,vastuolu,S
kummaline,dom neg,A
kunagine,dom neutr,A
kuningas,vastuolu,S
kunst,vastuolu,S
kunstikool,dom neutr,S
kunstimuuseum,dom neutr,S
kunstnik,vastuolu,S
kurat,dom neg,S
kurb,dom neg,A
kurbus,dom neg,S
kurg,dom neutr,S
kuri,dom neg,A/S
kuritegevus,dom neg,S
kuritegu,dom neg,S
kurjategija,dom neg,S
kurk,dom neutr,S/S
kurss,dom neutr,S
kursus,dom neutr,S
kurtma,dom neg,V
kurv,dom neutr,S
kurvastama,dom neg,V
kustutama,dom neutr,V
kutse,vastuolu,S
kutsekool,dom neutr,S
kutsuma,vastuolu,V
kuu,dom neutr,S
kuub,dom neutr,S
kuues,dom neutr,N
kuukaart,dom neutr,S
kuul,vastuolu,S
kuulaja,dom neutr,S
kuulama,dom neutr,V
kuulma,dom neutr,V
kuulsus,vastuolu,S
kuuluma,dom neutr,V
kuulus,dom vastuolu,A
kuulutama,dom neutr,V
kuulutus,dom neutr,S
kuum,vastuolu,A/S
kuupäev,dom neutr,S
kuus,dom neutr,N
kuusk,dom neutr,S
kvaliteet,vastuolu,S
kvaliteetne,dom pos,A
kvartal,dom neutr,S
kviitung,dom neutr,S
kõhn,dom neg,A
kõht,dom neutr,S
kõik,vastuolu,P/S
kõlama,dom neutr,V
kõlbama,vastuolu,V
kõndima,dom neutr,V
kõne,dom neutr,S
kõnelema,dom neutr,V
kõnelus,dom neutr,S
kõnnitee,dom neutr,S
kõrge ,dom neutr,A
kõrgharidus,vastuolu,S
kõrghoone,dom neutr,S
kõrgkool,dom neutr,S
kõrgune,dom neutr,A
kõrgus,dom neutr,S
kõrv,dom neutr,S
kõrvaldama,vastuolu,V
kõrvaltee,dom neutr,S
kõva,vastuolu,A
käekell,dom neutr,S
käekiri,dom neutr,S
käekott,dom neutr,S
käik ,dom neutr,S
käima,dom neutr,V
käituma,dom neutr,V
käive,dom neutr,S
käivitama,vastuolu,V
kärbes,vastuolu,S
kärpima,dom neg,V
käsi,dom neutr,S
käsitlema,dom neutr,V
käsk,vastuolu,S
käskima,dom neg,V
käskkiri,vastuolu,S
käsutus,dom neutr,S
käärid,dom neutr,S
köha,dom neg,S
köhima,dom neg,V
köögivili,dom neutr,S
köök,dom neutr,S
küla,dom neutr,S
külaline,dom pos,S
külaskäik,dom pos,S
külastaja,vastuolu,S
